judge,method,metric,target,iter_K0,iter_K5,cooperation,n,mean_K0,mean_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,share_K0_ge_4.5,share_K5_ge_4.5
claude-haiku-4-5,PTO,Q1Q2,own_best,10,10,Warms up,32,2.719669117647059,2.792095588235294,-0.07242647058823534,-0.12318404812054398,-0.26251378676470594,0.142863051470588,0.12156487494172646,0.24312974988345293,0.0,0.0
claude-haiku-4-5,PTO,Q1Q2,own_best,10,10,Resistant,32,2.2121323529411763,2.1134191176470587,0.09871323529411774,0.2455430627722585,-0.03898437499999997,0.23070772058823533,0.1396090300904405,0.24312974988345293,0.0,0.0
claude-haiku-4-5,PTO,Q1Q2,own_best,10,10,All,96,2.866053921568627,2.666973039215686,0.1990808823529412,0.30781875524334984,0.06844209558823532,0.33157322303921566,0.032362563631031745,,0.0,0.0
claude-haiku-4-5,PTO,MICI,matched_final,10,10,Cooperative,32,0.8116939484126985,0.40198243596681094,0.40971151244588744,1.6520588168766401,0.31961649136453824,0.48779741048881675,2.869925421157438e-06,8.609776263472313e-06,,
claude-haiku-4-5,PTO,MICI,matched_final,10,10,Warms up,32,0.8399949009324009,0.7190804405432889,0.12091446038911209,0.3026921412312727,-0.027625264030667483,0.24990053403258464,0.04171828906914024,0.04171828906914024,,
claude-haiku-4-5,PTO,MICI,matched_final,10,10,Resistant,32,0.8241745394751877,0.6210832822601524,0.20309125721503526,0.5074085212766618,0.07175089969640387,0.34482550797982503,0.006642565855044165,0.01328513171008833,,
claude-haiku-4-5,PTO,MICI,matched_final,10,10,All,96,0.825287796273429,0.5807153862567508,0.24457241001667826,0.6552098137093415,0.1677273965287039,0.3159218368864252,6.849761233738526e-09,,,
claude-haiku-4-5,PTO,MICI,own_best,10,10,Cooperative,32,0.8116939484126985,0.40198243596681094,0.40971151244588744,1.6520588168766401,0.31961649136453824,0.48779741048881675,2.869925421157438e-06,8.609776263472313e-06,,
claude-haiku-4-5,PTO,MICI,own_best,10,10,Warms up,32,0.8399949009324009,0.7190804405432889,0.12091446038911209,0.3026921412312727,-0.027625264030667483,0.24990053403258464,0.04171828906914024,0.04171828906914024,,
claude-haiku-4-5,PTO,MICI,own_best,10,10,Resistant,32,0.8241745394751877,0.6210832822601524,0.20309125721503526,0.5074085212766618,0.07175089969640387,0.34482550797982503,0.006642565855044165,0.01328513171008833,,
claude-haiku-4-5,PTO,MICI,own_best,10,10,All,96,0.825287796273429,0.5807153862567508,0.24457241001667826,0.6552098137093415,0.1677273965287039,0.3159218368864252,6.849761233738526e-09,,,
claude-haiku-4-5,PTO,PCT,matched_final,10,10,Cooperative,32,0.975483630952381,0.9728778467908903,0.0026057841614906922,0.04300451158338069,-0.018044287008281562,0.0236607142857143,0.7582394636149119,0.7582394636149119,,
claude-haiku-4-5,PTO,PCT,matched_final,10,10,Warms up,32,0.5789558531746031,0.6829657321844822,-0.10400987900987901,-0.45853573287662985,-0.17540950585872467,-0.02252426826645583,0.0010376205025547922,0.0031128615076643764,,
claude-haiku-4-5,PTO,PCT,matched_final,10,10,Resistant,32,0.3451776522089022,0.39781338855932513,-0.0526357363504229,-0.20591363269773122,-0.13844263443975618,0.03532066215545072,0.23122967779636383,0.46245935559272766,,
claude-haiku-4-5,PTO,PCT,matched_final,10,10,All,96,0.6332057121119621,0.6845523225115656,-0.05134661039960375,-0.2528897685169886,-0.09207389706788181,-0.009623347759529135,0.0027654866763637377,,,
claude-haiku-4-5,PTO,PCT,own_best,10,10,Cooperative,32,0.975483630952381,0.9728778467908903,0.0026057841614906922,0.04300451158338069,-0.018044287008281562,0.0236607142857143,0.7582394636149119,0.7582394636149119,,
claude-haiku-4-5,PTO,PCT,own_best,10,10,Warms up,32,0.5789558531746031,0.6829657321844822,-0.10400987900987901,-0.45853573287662985,-0.17540950585872467,-0.02252426826645583,0.0010376205025547922,0.0031128615076643764,,
claude-haiku-4-5,PTO,PCT,own_best,10,10,Resistant,32,0.3451776522089022,0.39781338855932513,-0.0526357363504229,-0.20591363269773122,-0.13844263443975618,0.03532066215545072,0.23122967779636383,0.46245935559272766,,
claude-haiku-4-5,PTO,PCT,own_best,10,10,All,96,0.6332057121119621,0.6845523225115656,-0.05134661039960375,-0.2528897685169886,-0.09207389706788181,-0.009623347759529135,0.0027654866763637377,,,
claude-haiku-4-5,GRPO,Q1Q2,matched_final,5,5,Cooperative,32,3.179595588235294,3.452205882352941,-0.27261029411764703,-0.35589741549414877,-0.5487362132352941,-0.03708180147058852,0.2462786640315635,0.3159808914650246,0.0,0.0
claude-haiku-4-5,GRPO,Q1Q2,matched_final,5,5,Warms up,32,2.5737132352941177,3.0498161764705882,-0.4761029411764706,-0.5888674346500261,-0.749499080882353,-0.19282628676470584,0.0034285678240262474,0.010285703472078743,0.0,0.0
claude-haiku-4-5,GRPO,Q1Q2,matched_final,5,5,Resistant,32,1.7064338235294119,1.8909926470588236,-0.18455882352941175,-0.32398693690865166,-0.3854917279411764,0.002035845588235253,0.1579904457325123,0.3159808914650246,0.0,0.0
claude-haiku-4-5,GRPO,Q1Q2,matched_final,5,5,All,96,2.486580882352941,2.7976715686274516,-0.3110906862745098,-0.42905279981954053,-0.4547794117647059,-0.1675398284313728,0.001079858264385145,,0.0,0.0
claude-haiku-4-5,GRPO,Q1Q2,own_best,8,4,Cooperative,32,3.4628676470588236,3.2970588235294116,0.16580882352941184,0.27526249371926,-0.02849724264705875,0.38291360294117643,0.13463315741388351,0.13463315741388351,0.0,0.0
claude-haiku-4-5,GRPO,Q1Q2,own_best,8,4,Warms up,32,2.4867647058823534,2.9338235294117645,-0.4470588235294118,-0.6862703514476066,-0.6722426470588235,-0.22589154411764725,0.0009653507235625521,0.0028960521706876564,0.0,0.0
claude-haiku-4-5,GRPO,Q1Q2,own_best,8,4,Resistant,32,1.9018382352941177,2.119669117647059,-0.21783088235294112,-0.47449682255481007,-0.3740808823529412,-0.06431985294117651,0.015849009467651002,0.031698018935302004,0.0,0.0
claude-haiku-4-5,GRPO,Q1Q2,own_best,8,4,All,96,2.617156862745098,2.7835171568627453,-0.16636029411764702,-0.2663045720251579,-0.2912699142156862,-0.040989583333333364,0.011623705266156872,,0.0,0.0
claude-haiku-4-5,GRPO,MICI,matched_final,5,5,Cooperative,32,0.6522979624542123,0.5188835903679654,0.1334143720862471,0.37147468352937774,0.008143042937964824,0.2545803361135392,0.017261282031415626,0.05178384609424688,,
claude-haiku-4-5,GRPO,MICI,matched_final,5,5,Warms up,32,0.6361437580251519,0.7096088807026307,-0.07346512267747879,-0.2590523299811872,-0.16334580621451222,0.020634065945377093,0.14427695397865944,0.14427695397865944,,
