pair,metric,primary_n,primary_delta,primary_dz,primary_ci_lo,primary_ci_hi,primary_p,primary_p_holm,judge_delta,judge_dz,judge_ci_lo,judge_ci_hi,judge_p,judge_p_holm,same_sign,judge_ci_excl0,favours_primary,favours_judge
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",CSQ-8,96,0.19270833333333334,0.3614942227094556,0.08203125,0.3033854166666667,0.0007367198254060477,0.005893758603248382,0.13671875,0.2236458130543389,0.012988281250000002,0.2552083333333333,0.027625596795288573,0.13812798397644288,True,True,A,A
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",MI-SAT,96,0.2378472222222222,0.34499995735522127,0.0989583333333333,0.3854600694444442,0.00314376573289194,0.02200636013024358,0.22916666666666666,0.40216587755077676,0.11458333333333337,0.3403211805555554,0.0003854269034415117,0.003083415227532094,True,True,A,A
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",MITI,96,0.0703125,0.14623441532040124,-0.028645833333333332,0.16927083333333334,0.16440599243109266,0.3653902117190735,0.09895833333333333,0.21207403807336472,0.0026041666666666665,0.19016927083333296,0.04278341859585862,0.1711336743834345,True,True,A,A
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",PCT,96,0.05593113725369917,0.3093732097154723,0.019493301347076986,0.0939077899887207,0.0033783495791212675,0.02200636013024358,0.06744086563770194,0.3729990632089324,0.031171075067952483,0.10535669094036083,0.0005574574664504758,0.0039022022651533307,True,True,A,A
"GRPO_LA5_I5 − GRPO_LA0_I5 (K lever, GRPO matched iter)",MICI,96,0.06298907055220994,0.2429304993301655,0.012561273117903754,0.11673686140684822,0.043888484640511365,0.20477557851156475,0.017977207075272925,0.052997955799543285,-0.05044167531478214,0.08492444521620497,0.6360645782349432,0.6360645782349432,True,False,B,B
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),Q1Q2,96,0.28897058823529403,0.3590738444572109,0.12046109068627446,0.4482322303921568,0.002648390460029314,0.0185387332202052,0.5405024509803922,0.838375534539019,0.39858915441176457,0.6669148284313726,1.0056953473150165e-10,7.039867431205116e-10,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),Q1,96,0.3812500000000001,0.4215990037503813,0.19578125,0.5666666666666668,0.00010976324058383711,0.0008781059246706969,0.94375,1.0996220369636376,0.7583333333333333,1.1083333333333332,4.761228089522184e-13,3.808982471617747e-12,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),Q2,96,0.19669117647058817,0.2621003465646525,0.041636029411764544,0.34866727941176456,0.11061892302954769,0.5530946151477385,0.1372549019607843,0.24239017637255525,0.018367034313725484,0.24635416666666654,0.021816979515263173,0.08726791806105269,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),WAI-SR,96,0.025173611111111067,0.04267506210602258,-0.09290364583333338,0.14151475694444426,0.5965919990497806,1.0,0.14062500000000008,0.20466121567916756,0.0016927083333334336,0.2804036458333333,0.10717543987246504,0.21435087974493008,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),CSQ-8,96,0.13411458333333334,0.21560753766758106,0.0078125,0.2604166666666667,0.030307958028034244,0.18184774816820548,0.2513020833333333,0.3448375545715601,0.1015625,0.3971354166666667,0.0019145736533676618,0.009572868266838308,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),MI-SAT,96,0.0798611111111112,0.09717316050902498,-0.09032118055555549,0.24657118055555544,0.21365530180306525,0.854621207212261,0.2725694444444445,0.3854444041970345,0.12847222222222227,0.4166666666666667,0.00020368592594370861,0.0012221155556622516,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),MITI,96,0.08854166666666667,0.11456092910185382,-0.059895833333333336,0.24479166666666666,0.616181811048413,1.0,0.0859375,0.20253581121547778,-0.0026041666666666665,0.16933593749999964,0.04349275674646239,0.13047827023938718,True,False,A,A
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),PCT,96,0.004056647131821283,0.01831040628724009,-0.04205663309795711,0.05028504313158676,0.9912594971819626,1.0,0.009814951282878915,0.04638592724194982,-0.03261456305710007,0.05437442624839825,0.8060095897195069,0.8060095897195069,True,False,A,A
GRPO_LA5_I5 − GRPO_LA0_I10 (K=5 endpoint vs K=0 endpoint),MICI,96,-0.49738931824989213,-1.3391808346902563,-0.5698881041669565,-0.4202065657707493,3.088045361816916e-16,2.7792408256352244e-15,-0.40309443084119395,-1.2275305465745243,-0.46747234717608155,-0.3348353774027727,6.550675103097024e-15,5.895607592787322e-14,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),Q1Q2,96,-0.04074754901960792,-0.06527489843372052,-0.16257352941176473,0.08241727941176466,0.3458975131480937,1.0,0.18051470588235294,0.28676668700495755,0.05434742647058816,0.3084114583333332,0.017883994844799595,0.08941997422399797,False,True,B,A
