model_state,family,method,train_oracle,K,iteration,gen_base_model,metric,n,mean,sd,sem,ci95_lo,ci95_hi,ref_state,paired_delta_vs_ref,dz_vs_ref,wilcoxon_p_vs_ref
L0_CSQ8_V2,PTO(DPO),DPO,CSQ8,0.0,2,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.4765625,1.307407098943715,0.1334366782710225,2.215026610588796,2.738098389411204,Base,-0.0208333333333333,-0.025642356639788,0.8610551935945852
L0_CSQ8_V2,PTO(DPO),DPO,CSQ8,0.0,2,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.5338541666666665,1.2945329332816826,0.1321227142403542,2.2748936467555723,2.7928146865777608,Base,-0.0520833333333333,-0.0649363907575028,0.4717202574762726
L0_CSQ8_V2,PTO(DPO),DPO,CSQ8,0.0,2,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.6501736111111107,1.2083783894604412,0.1233296029326753,2.408447589363067,2.8918996328591544,Base,-0.0572916666666666,-0.0797580358170331,0.421893028845505
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.25390625,1.272618147369099,0.1298860457691808,1.9993296002924057,2.5084828997075945,Base,0.0716145833333333,0.0954932373038896,0.4571236493893762
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.7994791666666665,1.123094756082652,0.1146253785499179,2.5748134247088275,3.0241449086245056,Base,0.1145833333333333,0.1085445215061753,0.278184087019272
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,MI_Mean,96,2.5590277777777777,1.4090308491027428,0.14380860883926,2.277162904452828,2.8408926511027275,Base,0.0885416666666666,0.097926322007458,0.5138595333654643
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.498835784313725,1.2016441779904696,0.1226422953526158,2.258456885422598,2.7392146832048523,Base,0.1213235294117646,0.1121153216703636,0.3158029472684579
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,Q1_Mean,96,2.475,1.251273035962302,0.1277075194587844,2.224693261860782,2.725306738139217,Base,0.1145833333333333,0.102267257803158,0.313962007246238
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,Q2_Mean,96,2.5226715686274512,1.1827655054485713,0.1207154989047515,2.286069190774138,2.7592739464807643,Base,0.1280637254901961,0.115659115598845,0.297724123485985
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,WAI_Bond_Mean,96,3.083333333333333,1.0334323665051095,0.1054742492339338,2.876603804834823,3.290062861831844,Base,0.0442708333333333,0.0636214638033133,0.6363722595461765
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.5390625,1.1966664910447995,0.1221342623061072,2.2996793458800298,2.7784456541199702,Base,0.0416666666666666,0.0552228524337466,0.5554597040043228
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.6640625,1.2300129037620104,0.1255376663023332,2.4180086740474267,2.9101163259525733,Base,0.078125,0.0968715012175151,0.3569590223824939
L0_CSQ8_V3,PTO(DPO),DPO,CSQ8,0.0,3,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.762152777777778,1.135741711346725,0.1159161530164506,2.534957117865535,2.989348437690021,Base,0.0546874999999999,0.0788550509490119,0.4588788932154131
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.188802083333333,1.2883581442227496,0.1314925024710331,1.9310767784901084,2.4465273881765586,Base,0.0065104166666666,0.0091223815138775,0.9690990306375792
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.856770833333333,1.1469322879950734,0.1170582864629489,2.6273365918659537,3.0862050748007133,Base,0.171875,0.1622054542544044,0.0919476681847025
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,MI_Mean,96,2.517361111111111,1.4508475374752683,0.1480765067244959,2.2271311579310997,2.807591064291123,Base,0.046875,0.0498711946959598,0.4719454417301626
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.573406862745097,1.2917603013472383,0.1318397336785236,2.315000984735191,2.831812740755004,Base,0.1958946078431372,0.1936235758813425,0.0704659999704477
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,Q1_Mean,96,2.5395833333333333,1.3552610287838838,0.1383207495333292,2.268474664248008,2.8106920024186586,Base,0.1791666666666666,0.1736273687823099,0.152357570194986
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,Q2_Mean,96,2.607230392156863,1.2551259253348896,0.1281007533337107,2.35615291562279,2.858307868690936,Base,0.2126225490196078,0.202171978797673,0.0337250182089046
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,WAI_Bond_Mean,96,3.03125,1.0464539117771428,0.1068032551330601,2.821915619939202,3.240584380060798,Base,-0.0078125,-0.0104050739012155,0.9741037823683762
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.5546875,1.2644965323254778,0.1290571369048398,2.301735511666514,2.807639488333486,Base,0.0572916666666666,0.0701114814111308,0.4890502808008466
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.6171875,1.2391386678487175,0.1264690606992269,2.369308141029516,2.8650668589704846,Base,0.03125,0.0380270240001865,0.6669472860991255
L0_CSQ8_V4,PTO(DPO),DPO,CSQ8,0.0,4,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.734375,1.1666862467028631,0.1190744164310361,2.500989143795169,2.9677608562048308,Base,0.0269097222222222,0.0360203591713115,0.4134762866300175
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.255208333333333,1.2437893959201891,0.1269437236453745,2.0063986349883995,2.5040180316782674,Base,0.0729166666666666,0.0902670502928145,0.3040878723252599
