judge,method,metric,n_iters,n_sig_K0_higher,n_sig_K5_higher,n_sig_K0_better,n_sig_K5_better,iters_sig_K0_higher,iters_sig_K5_higher,mean_delta_iters1toN,mean_dz_iters1toN,base_delta,base_dz,max_abs_dz,max_abs_dz_iter,max_abs_dz_delta,lower_better
claude-haiku-4-5,GRPO,MICI_Rate,6,0,1,1,0,,3,-0.04648791101206466,-0.14162369952117396,0.057313706772436905,0.14710484113392083,0.3542902838037176,3,-0.11060569293873741,True
claude-haiku-4-5,GRPO,MICI_Severity,6,1,1,1,1,5,3,0.020833333333333332,0.03964333732785234,-0.041666666666666664,-0.03806412354462017,0.4290786957328258,5,0.3333333333333333,True
claude-haiku-4-5,GRPO,MICI_Warn,6,0,0,0,0,,,-0.035416666666666666,-0.09887255406976425,0.020833333333333332,0.024277325324582696,0.1750184239617292,2,-0.07291666666666667,True
claude-haiku-4-5,GRPO,MICI_Warn_rate,6,0,0,0,0,,,-0.0026569955099366863,-0.11002633468299369,0.00258733164983165,0.03335789630277991,0.21421244184742763,2,-0.006548821548821548,True
claude-haiku-4-5,GRPO,RtoQ,6,0,0,0,0,,,0.010067340325462004,0.018605757037707442,-0.33305560683278074,-0.20708608584758156,0.20708608584758156,0,-0.33305560683278074,False
claude-haiku-4-5,PTO,%CR,11,0,0,0,0,,,-0.045467624206526835,-0.09954041186739837,-0.0627450980392157,-0.18685275242763325,0.2709385407577481,10,-0.12842490842490845,False
claude-haiku-4-5,PTO,%MICO,11,6,0,6,0,"5,6,7,8,9,10",,0.11171243894445562,0.37341090151964396,-0.07571069597453679,-0.1704272349350903,0.7073404934802464,6,0.16970395645426242,False
claude-haiku-4-5,PTO,B1_GI,11,0,2,0,2,,"9,10",-0.4604166666666666,-0.15974723217693873,0.5208333333333334,0.1281198763188713,0.5274466644005716,9,-1.4166666666666667,False
claude-haiku-4-5,PTO,B1_GI_per_turn,11,0,0,0,0,,,-0.013453054496149969,-0.050855013463167634,0.02059952485009693,0.06366960070521276,0.1310469791680326,4,-0.0377278455988263,False
claude-haiku-4-5,PTO,B2_Persuade,11,0,6,0,6,,"5,6,7,8,9,10",-1.1375,-0.4304669666363886,-0.03125,-0.007709450326503411,0.9992174755273531,9,-2.46875,False
claude-haiku-4-5,PTO,B2_Persuade_per_turn,11,0,7,0,7,,"4,5,6,7,8,9,10",-0.061256522083787915,-0.4006994015587767,-0.006640061181648625,-0.02955586930434701,0.7310137471369684,8,-0.096725628182335,False
claude-haiku-4-5,PTO,B3_Q,11,0,1,0,1,,10,-0.060416666666666674,-0.05383941144373613,-0.7291666666666666,-0.07600801753758493,0.31657666559629283,10,-0.7395833333333334,False
claude-haiku-4-5,PTO,B3_Q_per_turn,11,2,0,2,0,"5,9",,0.027871698595092552,0.08613613578428311,0.010017193431736515,0.0224618582296427,0.19143486603100077,9,0.05625553497965455,False
claude-haiku-4-5,PTO,B4_SR,11,1,0,1,0,5,,0.09999999999999999,0.11204510083452682,-0.2604166666666667,-0.16646725902720758,0.33810171629669455,5,0.2708333333333333,False
claude-haiku-4-5,PTO,B4_SR_per_turn,11,3,0,3,0,"5,6,8",,0.014001167981875975,0.20638006208790521,-0.010906942865956953,-0.13054137735740484,0.40345651023833434,6,0.023113842654935837,False
claude-haiku-4-5,PTO,B5_CR,11,0,1,0,1,,9,-0.065625,-0.011766777412298101,-0.11458333333333333,-0.16513424787380013,0.3690619118204347,9,-0.5833333333333334,False
claude-haiku-4-5,PTO,B5_CR_per_turn,11,0,0,0,0,,,0.004039295347177674,0.057562350641561254,-0.005396815970864884,-0.14023732452330906,0.258912951053665,6,0.017397500630302404,False
claude-haiku-4-5,PTO,B6_AF,11,5,0,5,0,"5,6,8,9,10",,0.31666666666666665,0.22505352913978527,-0.17708333333333334,-0.15500542232057696,0.5509265966919084,8,0.5416666666666666,False
claude-haiku-4-5,PTO,B6_AF_per_turn,11,6,0,6,0,"5,6,7,8,9,10",,0.03215581804778176,0.315460003587978,-0.010927326202262264,-0.17280085096858833,0.694253009745801,10,0.1013180664740746,False
claude-haiku-4-5,PTO,B7_Seek,11,0,1,0,1,,10,-0.030208333333333337,-0.09687872643840066,-0.1875,-0.045537151100877714,0.30670320634244297,10,-0.10416666666666667,False
claude-haiku-4-5,PTO,B7_Seek_per_turn,11,0,0,0,0,,,-0.0029339833596946766,-0.0968023293336761,0.0038794279388992673,0.01717395813208223,0.3069335604415184,10,-0.004671648550724638,False
claude-haiku-4-5,PTO,MICI_AdviseNoPermission,11,0,6,6,0,,"4,6,7,8,9,10",-1.1333333333333333,-0.35739780593207954,0.84375,0.16151137665056609,0.776989202401219,9,-2.5208333333333335,True
claude-haiku-4-5,PTO,MICI_AdviseNoPermission_rate,11,0,3,3,0,,"4,8,9",-0.05856162340100286,-0.21792851868642646,0.02935402463360887,0.09541562837744594,0.36221437582129623,4,-0.10276341223419398,True
claude-haiku-4-5,PTO,MICI_BehaviorTotal,11,0,1,1,0,,4,-0.7989583333333334,-0.15949671625582512,0.1875,0.024578450947253784,0.4352566632916057,4,-1.84375,True
claude-haiku-4-5,PTO,MICI_Confront,11,0,4,4,0,,"6,8,9,10",-0.12604166666666666,-0.23350561940120165,-0.010416666666666666,-0.01205017228064198,0.3446012188022556,8,-0.125,True
