judge,metric,arm,method,K,iteration,n,mean,median,sd,iqr,share_ge4,share_ge45,share_eq5
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,6,96,2.8495710784313726,2.8205882352941174,0.7037360273092932,1.244117647058823,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,7,96,2.813235294117647,2.776470588235294,0.718235560356254,1.3044117647058822,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,8,96,2.8954656862745103,2.8735294117647054,0.7215043669786306,1.4161764705882356,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,9,96,2.9210784313725493,2.8235294117647056,0.7102074239816235,1.3882352941176475,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA0,PTO,0,10,96,2.866053921568627,2.7588235294117647,0.6684052672495591,1.3205882352941174,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,0,96,1.833700980392157,1.9117647058823528,0.6564056023665453,1.0897058823529409,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,1,96,2.011519607843137,1.9705882352941178,0.7818697344654292,1.3602941176470584,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,2,96,2.063112745098039,2.0588235294117645,0.6944903649399866,1.3176470588235296,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,3,96,2.3499387254901962,2.4264705882352944,0.7420830834262837,0.9779411764705881,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,4,96,2.557352941176471,2.6764705882352944,0.7324952303117269,1.2088235294117649,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,5,96,2.578799019607843,2.6794117647058826,0.6740929972241929,1.1117647058823534,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,6,96,2.5067401960784315,2.4117647058823533,0.770944298503078,1.247058823529412,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,7,96,2.7352941176470593,2.7411764705882353,0.7187673334911965,1.2823529411764705,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,8,96,2.7096813725490194,2.6676470588235297,0.736327436985474,1.3411764705882354,0.0,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,9,96,2.733639705882353,2.7705882352941176,0.7101207651468144,1.0367647058823528,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q1Q2,PTO_LA5,PTO,5,10,96,2.666973039215686,2.647058823529412,0.6551569631475433,1.0014705882352937,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,0,96,2.0281862745098036,2.0588235294117645,0.6094011956640354,0.8823529411764706,0.0,0.0,0.0
