arm,method,K,iteration,n_steps,median_step_s,n_imputed,gen_h,build_h,train_h,gpu_h,cum_gpu_h,train_source,gen_h_meta,gen_h_floor,cum_gpu_h_floor
GRPO_LA0,GRPO,0,10,158,77.95499992370605,0,0.09452444447411432,0.0,3.588189166718059,3.6827136111921734,27.90588402794467,completions,0.21054098897510104,0.21054098897510104,28.766078443990814
GRPO_LA5,GRPO,5,0,0,,0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
GRPO_LA5,GRPO,5,1,108,179.53550004959106,1,0.059661666684680516,0.0,7.741820972230699,7.801482638915379,7.801482638915379,completions,0.012428533567322625,0.059661666684680516,7.801482638915379
GRPO_LA5,GRPO,5,2,104,169.58550000190735,1,0.0931722221771876,0.0,5.377618750002649,5.470790972179837,13.272273611095216,completions,0.02463479346699185,0.0931722221771876,13.272273611095216
GRPO_LA5,GRPO,5,3,112,155.63499999046326,0,0.0800841666592492,0.0,4.9598180555635025,5.039902222222752,18.31217583331797,completions,0.1937446803516812,0.1937446803516812,18.4258363470104
GRPO_LA5,GRPO,5,4,106,155.78800010681152,0,0.08801888889736599,0.0,4.809774722192023,4.897793611089389,23.209969444407356,completions,0.20038512878947787,0.20038512878947787,23.4359961979919
GRPO_LA5,GRPO,5,5,88,150.2170000076294,0,0.10144250002172259,0.0,3.7666916666428247,3.8681341666645475,27.078103611071903,completions,0.21219083997938368,0.21219083997938368,27.414878704614107
PTO_LA0,PTO,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
PTO_LA0,PTO,0,1,99,6.4592602252960205,0,0.06505583332644568,0.6818747222423553,0.17194046590063308,0.9188710214694341,0.9188710214694341,tb_wall_time,0.023163278102874756,0.06505583332644568,0.9188710214694341
PTO_LA0,PTO,0,2,79,6.534990906715393,0,0.1725777777698305,0.7039925000402663,0.13642099175188277,1.0129912695619796,1.9318622910314138,tb_wall_time,0.27602700776524014,0.27602700776524014,2.035311521026823
PTO_LA0,PTO,0,3,77,6.522508263587952,0,0.15097249997986686,0.5826247221893734,0.13593156397342682,0.869528786142667,2.8013910771740806,tb_wall_time,0.44764192720254264,0.44764192720254264,3.2015097343921664
PTO_LA0,PTO,0,4,67,6.5919554233551025,1,0.12712500002649096,0.8570238888925976,0.11895232372813755,1.1031012126472262,3.904492289821307,tb_wall_time,0.00012081318431430393,0.12712500002649096,4.304610947039392
PTO_LA0,PTO,0,5,61,6.685548543930054,0,0.0910586111413108,0.5555058332946565,0.11107554442352718,0.7576399888594945,4.662132278680801,tb_wall_time,0.20231306903892093,0.20231306903892093,5.173505393796497
PTO_LA0,PTO,0,6,59,6.828368663787842,0,0.1059224999613232,0.48881888892915515,0.10972374286916521,0.7044651317596435,5.366597410440445,tb_wall_time,0.2416404441330168,0.2416404441330168,6.013688469727834
PTO_LA0,PTO,0,7,53,6.958035588264465,0,0.15221388889683618,0.4569683333237966,0.096587080028322,0.7057693022489548,6.0723667126894,tb_wall_time,0.2807193660736084,0.2807193660736084,6.847963249153561
PTO_LA0,PTO,0,8,49,6.933818459510803,0,0.2530994444423252,0.463537777794732,0.09080701404147679,0.8074442362785339,6.8798109489679335,tb_wall_time,0.3758781650993559,0.3758781650993559,7.778186206089126
PTO_LA0,PTO,0,9,47,7.015772342681885,0,0.10144472221533457,0.41929111109839545,0.08668605976634555,0.6074218930800755,7.487232842048009,tb_wall_time,0.20215116255813176,0.20215116255813176,8.486314539511998
PTO_LA0,PTO,0,10,39,7.053824424743652,0,0.10334861112965478,0.4596730555428399,0.06875745568010543,0.6317791223526,8.11901196440061,tb_wall_time,0.20594349324703218,0.20594349324703218,9.220688543981977
PTO_LA5,PTO,5,0,0,,0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
PTO_LA5,PTO,5,1,101,6.478924512863159,0,0.000184722277853224,1.9891655555036334,0.18234259400102829,2.171692871782515,2.171692871782515,tb_wall_time,0.2965756900442971,0.2965756900442971,2.468083839548959
PTO_LA5,PTO,5,2,97,6.637898087501526,0,0.00022861116462283664,2.290311111079322,0.17926007091999055,2.4697997931639355,4.64149266494645,tb_wall_time,0.2024438340134091,0.2024438340134091,5.14009885556168
PTO_LA5,PTO,5,3,95,6.753322720527649,0,0.00019277777936723496,2.428636944492658,0.180150006281005,2.60897972855303,7.25047239349948,tb_wall_time,0.25889792925781674,0.25889792925781674,8.00778373559316
