metric,iteration,n,mean_K0,mean_K5,se_K0,se_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,sig,lower_better
CSQ-8,4,96,2.55859375,2.8020833333333335,0.09454982509252682,0.08588473592843539,-0.24348958333333334,-0.3687641080802266,-0.3658854166666667,-0.11845703125000018,0.00043852474643703846,0.0026311484786222306,**,False
CSQ-8,5,96,2.5989583333333335,2.7356770833333335,0.10148831917562517,0.09669833551288814,-0.13671875,-0.2236458130543389,-0.2552083333333333,-0.012988281250000178,0.027625596795288573,0.13812798397644288,,False
MI-SAT,0,96,2.5208333333333335,2.439236111111111,0.11527073183568205,0.11256684692754448,0.08159722222222222,0.12263854348556671,-0.05212673611111111,0.2135850694444442,0.22002098283200167,0.8800839313280067,,False
MI-SAT,1,96,2.628472222222222,2.621527777777778,0.10838615352746048,0.11338532859420505,0.006944444444444434,0.010383135012248093,-0.1302083333333333,0.140625,0.9824870719482172,1.0,,False
MI-SAT,2,96,2.6753472222222228,2.7013888888888893,0.11230272370853446,0.10606936734401189,-0.02604166666666666,-0.03313350724819782,-0.18749999999999992,0.13025173611111088,0.6879295719198937,1.0,,False
MI-SAT,3,96,2.9809027777777772,3.0364583333333335,0.09452835727628763,0.08950818366349969,-0.05555555555555555,-0.11200992333972729,-0.15451388888888887,0.04340277777777777,0.2790263692120273,0.8800839313280067,,False
MI-SAT,4,96,2.894097222222222,3.149305555555556,0.09149105292869163,0.08458414954618237,-0.2552083333333333,-0.4650600752188053,-0.3611111111111111,-0.14583333333333337,1.582559932879485e-05,9.49535959727691e-05,***,False
MI-SAT,5,96,2.868055555555556,3.0972222222222228,0.10103981404422847,0.0967511561937185,-0.22916666666666666,-0.40216587755077676,-0.3403211805555556,-0.11458333333333337,0.0003854269034415117,0.0019271345172075585,**,False
MITI,0,96,1.8880208333333333,1.8307291666666667,0.06368071050300969,0.06320813655007591,0.057291666666666664,0.1141399001343057,-0.03912760416666666,0.15885416666666666,0.2967782603700684,1.0,,False
MITI,1,96,1.9791666666666667,2.0130208333333335,0.05779039307846714,0.062430859966310266,-0.033854166666666664,-0.061860569420618516,-0.14583333333333334,0.078125,0.6140273644873055,1.0,,False
MITI,2,96,2.0729166666666665,2.1015625,0.06104857080289451,0.06067264191071162,-0.028645833333333332,-0.047205243768417886,-0.1484375,0.09635416666666667,0.6415338489975131,1.0,,False
MITI,3,96,2.3828125,2.25,0.038287263446411424,0.049254307853275774,0.1328125,0.2913276037003906,0.049479166666666664,0.22395833333333334,0.0044210862203032586,0.02652651732181955,*,False
MITI,4,96,2.28125,2.2786458333333335,0.03851869277354122,0.03490074265021519,0.0026041666666666665,0.006190458813774083,-0.07552083333333333,0.08600260416666632,0.9972872339349826,1.0,,False
MITI,5,96,2.0859375,2.1848958333333335,0.0442450260176512,0.04289496422609072,-0.09895833333333333,-0.21207403807336472,-0.19016927083333332,-0.0026041666666666665,0.04278341859585862,0.21391709297929312,,False
PCT,0,96,0.5257424001362452,0.5065575634382947,0.03644102565510157,0.03762098240300547,0.019184836697950423,0.08797454454846312,-0.024854925808225112,0.06342037898821959,0.40305585711431235,1.0,,False
PCT,1,96,0.5390022408052467,0.5219517419304677,0.035121049873655615,0.03683905913956311,0.017050498874779146,0.08161255945400382,-0.021874694483754255,0.05892801208715247,0.79746771968048,1.0,,False
PCT,2,96,0.5526926184085417,0.5604395906415441,0.0331854589054098,0.03535533445705421,-0.00774697223300249,-0.03443679587148055,-0.052436976976952814,0.038430170001300126,0.4655113624543473,1.0,,False
PCT,3,96,0.6006299741157436,0.6226218384154134,0.03260989557205493,0.032227510637570164,-0.021991864299669858,-0.12369975979158968,-0.05850373468290794,0.013038662116636715,0.24675525513125174,0.987021020525007,,False
PCT,4,96,0.5855126108125334,0.6507113609871804,0.033158445630735264,0.02940635450906623,-0.06519875017464699,-0.3665120992061885,-0.09888169861810824,-0.030344252623167544,0.00037233677983515464,0.002234020679010928,**,False
PCT,5,96,0.554870743927197,0.6223116095648991,0.03536224662326469,0.03317431990643969,-0.06744086563770194,-0.3729990632089324,-0.10535669094036089,-0.03117107506795249,0.0005574574664504758,0.002787287332252379,**,False
MICI,0,96,0.38373951380316845,0.32642580703073154,0.030137375531923617,0.029574403099155593,0.057313706772436905,0.14710484113392083,-0.015989436168399367,0.1333091807286561,0.14135416750208463,0.44103826913757865,,True
MICI,1,96,0.37318383796107285,0.36165610468939274,0.029032716129232878,0.03453807007520253,0.01152773327168013,0.0280419628809865,-0.07078719231770356,0.09061468998892275,0.42644484525993387,0.8528896905198677,,True
MICI,2,96,0.3090360559454019,0.3701326663557449,0.02678559469017391,0.02877013875195261,-0.06109661041034292,-0.15529244015145643,-0.1386885405466544,0.014660348725808217,0.11025956728439466,0.44103826913757865,,True
MICI,3,96,0.40745341198569257,0.51805910492443,0.019559579566425723,0.02681106814018141,-0.11060569293873741,-0.3542902838037176,-0.17172253010502608,-0.05113825891169537,0.00037417700397368684,0.002245062023842121,**,True
MICI,4,96,0.5076504374037268,0.5619382153113771,0.01979405739482857,0.02472352174432644,-0.05428777790765019,-0.17357978073213898,-0.1157337710561032,0.007546818202294121,0.04590401780615968,0.2295200890307984,,True
MICI,5,96,0.6286796194430865,0.6466568265183593,0.02376051151286039,0.025917946846934093,-0.017977207075272925,-0.052997955799543285,-0.08492444521620511,0.05044167531478211,0.6360645782349432,0.8528896905198677,,True
