method,iteration,metric,contrast,primary_n,primary_delta,primary_dz,primary_ci_lo,primary_ci_hi,primary_p,primary_p_holm,judge_delta,judge_dz,judge_ci_lo,judge_ci_hi,judge_p,judge_p_holm,same_sign,judge_ci_excl0,favours_primary,favours_judge
GRPO,2,CSQ-8,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.06770833333333333,-0.08571459732703775,-0.22399088541666667,0.08466796874999982,0.3692203573222558,1.0,-0.024739583333333332,-0.02805101061883134,-0.19921875,0.14192708333333334,0.9113005139971211,1.0,True,False,K5,K5
GRPO,3,CSQ-8,GRPO_LA0_I3 − GRPO_LA5_I3,96,-0.01953125,-0.0406636354316591,-0.1171875,0.07682291666666667,0.9822690277455621,1.0,0.018229166666666668,0.029309188460889295,-0.09638671875,0.1380533854166665,0.6922616431680846,1.0,False,False,K5,K0
GRPO,4,CSQ-8,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.16927083333333334,-0.3045726807099146,-0.2747721354166667,-0.05595703125000018,0.001614124768467691,0.008070623842338455,-0.24348958333333334,-0.3687641080802266,-0.3658854166666667,-0.11845703125000018,0.00043852474643703846,0.0026311484786222306,True,True,K5,K5
GRPO,5,CSQ-8,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.19270833333333334,-0.3614942227094556,-0.3033854166666667,-0.08203125,0.0007367198254060477,0.004420318952436286,-0.13671875,-0.2236458130543389,-0.2552083333333333,-0.012988281250000178,0.027625596795288573,0.13812798397644288,True,True,K5,K5
GRPO,0,MI-SAT,GRPO_LA0_Base − GRPO_LA5_Base,96,0.04166666666666665,0.052971708395700874,-0.11111111111111105,0.19791666666666666,0.5532593484754145,1.0,0.08159722222222222,0.12263854348556671,-0.05212673611111111,0.2135850694444442,0.22002098283200167,0.8800839313280067,True,False,K0,K0
GRPO,1,MI-SAT,GRPO_LA0_I1 − GRPO_LA5_I1,96,0.039930555555555525,0.044501708710688904,-0.1337239583333334,0.21701388888888884,0.6012085486430814,1.0,0.006944444444444434,0.010383135012248093,-0.1302083333333333,0.140625,0.9824870719482172,1.0,True,False,K0,K0
GRPO,2,MI-SAT,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.09027777777777778,-0.08647004192780444,-0.3020833333333333,0.11111111111111112,0.11033628340588379,0.44134513362353517,-0.02604166666666666,-0.03313350724819782,-0.18749999999999992,0.13025173611111088,0.6879295719198937,1.0,True,False,K5,K5
GRPO,3,MI-SAT,GRPO_LA0_I3 − GRPO_LA5_I3,96,-0.06423611111111106,-0.0900896755984322,-0.2118055555555555,0.07986111111111115,0.6249435659338091,1.0,-0.05555555555555555,-0.11200992333972729,-0.15451388888888887,0.04340277777777777,0.2790263692120273,0.8800839313280067,True,False,K5,K5
GRPO,4,MI-SAT,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.21180555555555555,-0.2958452519397987,-0.3541666666666667,-0.06770833333333333,0.004823033368039229,0.024115166840196146,-0.2552083333333333,-0.4650600752188053,-0.3611111111111111,-0.14583333333333337,1.582559932879485e-05,9.49535959727691e-05,True,True,K5,K5
GRPO,5,MI-SAT,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.2378472222222222,-0.34499995735522127,-0.38546006944444444,-0.0989583333333333,0.00314376573289194,0.01886259439735164,-0.22916666666666666,-0.40216587755077676,-0.3403211805555556,-0.11458333333333337,0.0003854269034415117,0.0019271345172075585,True,True,K5,K5
