judge,K,iteration,metric,contrast,n,delta,dz,ci_lo,ci_hi,p,p_holm,p_holm_rubrics,favours
claude-haiku-4-5,0,10,WAI-SR,PTO_LA0_I10 − GRPO_LA0_I10,96,0.28559027777777785,0.47575733301081025,0.17011718750000004,0.40277777777777785,2.229219517862334e-06,2.229219517862334e-05,6.687658553587002e-06,PTO
claude-haiku-4-5,0,0,CSQ-8,PTO_LA0_Base − GRPO_LA0_Base,96,-0.045572916666666664,-0.06679547054734371,-0.18359375,0.08730468749999964,0.5886408455036884,1.0,1.0,GRPO
claude-haiku-4-5,0,1,CSQ-8,PTO_LA0_I1 − GRPO_LA0_I1,96,0.033854166666666664,0.04821959574300096,-0.10416666666666667,0.16676432291666612,0.5700078390448287,1.0,1.0,PTO
claude-haiku-4-5,0,2,CSQ-8,PTO_LA0_I2 − GRPO_LA0_I2,96,0.08333333333333333,0.10136426090873384,-0.07945963541666666,0.2396158854166665,0.38318329503300097,1.0,1.0,PTO
claude-haiku-4-5,0,3,CSQ-8,PTO_LA0_I3 − GRPO_LA0_I3,96,-0.15755208333333334,-0.26528577883899707,-0.26953125,-0.040364583333333336,0.015367297033011438,0.1229383762640915,0.09220378219806863,GRPO
claude-haiku-4-5,0,4,CSQ-8,PTO_LA0_I4 − GRPO_LA0_I4,96,0.10546875,0.14953318241643065,-0.030045572916666662,0.2474283854166665,0.15154097080359583,0.6254017632546907,1.0,PTO
claude-haiku-4-5,0,5,CSQ-8,PTO_LA0_I5 − GRPO_LA0_I5,96,0.11067708333333333,0.18467541011056662,-0.009114583333333334,0.22659505208333316,0.07764960513308498,0.48521919823821275,0.23294881539925494,PTO
claude-haiku-4-5,0,6,CSQ-8,PTO_LA0_I6 − GRPO_LA0_I6,96,0.22916666666666666,0.32781403985133967,0.08981119791666667,0.3658854166666667,0.0012207687994429455,0.01098691919498651,0.004883075197771782,PTO
claude-haiku-4-5,0,7,CSQ-8,PTO_LA0_I7 − GRPO_LA0_I7,96,0.10807291666666667,0.15910494683577905,-0.02734375,0.2435221354166665,0.06931702831974468,0.48521919823821275,0.3465851415987234,PTO
claude-haiku-4-5,0,8,CSQ-8,PTO_LA0_I8 − GRPO_LA0_I8,96,0.08984375,0.1629009060519459,-0.01565755208333333,0.20182291666666666,0.12508035265093814,0.6254017632546907,0.3752410579528144,PTO
claude-haiku-4-5,0,9,CSQ-8,PTO_LA0_I9 − GRPO_LA0_I9,96,0.7278645833333334,1.1092218613597211,0.5963216145833333,0.8619791666666666,5.177715507207779e-13,5.695487057928556e-12,3.624400855045445e-12,PTO
claude-haiku-4-5,0,10,CSQ-8,PTO_LA0_I10 − GRPO_LA0_I10,96,0.32421875,0.6030936085059069,0.22262369791666667,0.43359375,1.8264172005158036e-08,1.8264172005158035e-07,1.0958503203094822e-07,PTO
claude-haiku-4-5,0,0,MI-SAT,PTO_LA0_Base − GRPO_LA0_Base,96,-0.057291666666666685,-0.07250013812566661,-0.21184895833333336,0.09722222222222221,0.9503467676628862,1.0,1.0,GRPO
claude-haiku-4-5,0,1,MI-SAT,PTO_LA0_I1 − GRPO_LA0_I1,96,-0.02777777777777779,-0.03940680855820193,-0.16493055555555555,0.10763888888888885,0.6857878317825238,1.0,1.0,GRPO
claude-haiku-4-5,0,2,MI-SAT,PTO_LA0_I2 − GRPO_LA0_I2,96,0.05729166666666665,0.0756858270501947,-0.08164062499999998,0.20664062499999974,0.5002362796579083,1.0,1.0,PTO
claude-haiku-4-5,0,3,MI-SAT,PTO_LA0_I3 − GRPO_LA0_I3,96,-0.1388888888888889,-0.2820434354210257,-0.23611111111111108,-0.041666666666666685,0.020104157862189255,0.1407291050353248,0.10052078931094627,GRPO
