method,metric,iteration,mean_K0,mean_K5,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,metric_unit
PTO,q_per_turn,2,0.7789213440265588,0.7790279246001962,96,-0.00010658057363747049,-0.00013798957265633683,-0.15659343503991455,0.15595163730680972,0.7826437042470373,1.0,'?' / therapist turn
PTO,q_per_turn,3,0.8561692167557905,0.822605796071469,96,0.03356342068432147,0.03731731186043615,-0.1551584020286227,0.21104089720031569,0.5341650995819605,1.0,'?' / therapist turn
PTO,q_per_turn,4,0.7519545682466542,0.7663425481261831,96,-0.014387979879529047,-0.012523206143267955,-0.27350351274530194,0.1778121959056928,0.25080300863447924,1.0,'?' / therapist turn
PTO,q_per_turn,5,0.8038914673647645,0.7154825530925316,96,0.08840891427223285,0.09782409587468249,-0.101974316423618,0.25758663473631466,0.04967193022915868,0.5463912325207455,'?' / therapist turn
PTO,q_per_turn,6,0.7415384222688789,0.9429385580274726,96,-0.20140013575859372,-0.1464998719587053,-0.4869195838797932,0.06849012005234004,0.062311367930438614,0.6231136793043861,'?' / therapist turn
PTO,q_per_turn,7,0.680289293091056,0.595356423404024,96,0.08493286968703202,0.10073116048589899,-0.0878128633787738,0.23918941587371095,0.13081127378103627,1.0,'?' / therapist turn
PTO,q_per_turn,8,0.6748901730994922,0.680816209055268,96,-0.005926035955775824,-0.008485205684281974,-0.14454275320849672,0.13212040839935454,0.8471551508630242,1.0,'?' / therapist turn
PTO,q_per_turn,9,0.6472497501280396,0.588815447976874,96,0.058434302151165546,0.10329620803495006,-0.049884154342443345,0.17251734438507,0.3907343526636431,1.0,'?' / therapist turn
PTO,q_per_turn,10,0.5500776358574346,0.6155634973290339,96,-0.06548586147159936,-0.11024961502956233,-0.18657215155618925,0.04950817981893223,0.3917915431213197,1.0,'?' / therapist turn
PTO,loop,0,0.4895833333333333,0.4479166666666667,96,0.041666666666666664,0.0643468417177689,-0.08333333333333333,0.16666666666666666,0.5270892568655381,1.0,share of conversations with a verbatim-repeated therapist turn
PTO,loop,1,0.375,0.4270833333333333,96,-0.052083333333333336,-0.08375166711556621,-0.17708333333333334,0.07291666666666667,0.41107977872331547,1.0,share of conversations with a verbatim-repeated therapist turn
PTO,loop,2,0.2708333333333333,0.4166666666666667,96,-0.14583333333333334,-0.23070926608873416,-0.2708333333333333,-0.020833333333333332,0.026856695507524404,0.24171025956771963,share of conversations with a verbatim-repeated therapist turn
PTO,loop,3,0.10416666666666667,0.21875,96,-0.11458333333333333,-0.23952874925939413,-0.20833333333333334,-0.020833333333333332,0.02181011914372237,0.2181011914372237,share of conversations with a verbatim-repeated therapist turn
PTO,loop,4,0.041666666666666664,0.11458333333333333,96,-0.07291666666666667,-0.21943681487678965,-0.13541666666666666,-0.010416666666666666,0.034808478811867126,0.278467830494937,share of conversations with a verbatim-repeated therapist turn
PTO,loop,5,0.010416666666666666,0.041666666666666664,96,-0.03125,-0.13751085654881876,-0.08333333333333333,0.010416666666666666,0.17971249487899976,1.0,share of conversations with a verbatim-repeated therapist turn
PTO,loop,6,0.010416666666666666,0.08333333333333333,96,-0.07291666666666667,-0.2439188825570781,-0.14583333333333334,-0.020833333333333332,0.019630657257290667,0.21593722983019734,share of conversations with a verbatim-repeated therapist turn
PTO,loop,7,0.010416666666666666,0.010416666666666666,96,0.0,0.0,-0.03125,0.03125,1.0,1.0,share of conversations with a verbatim-repeated therapist turn
PTO,loop,8,0.010416666666666666,0.020833333333333332,96,-0.010416666666666666,-0.058719890596663125,-0.041666666666666664,0.020833333333333332,0.5637028616507731,1.0,share of conversations with a verbatim-repeated therapist turn
PTO,loop,9,0.0,0.0,96,0.0,,0.0,0.0,1.0,1.0,share of conversations with a verbatim-repeated therapist turn
PTO,loop,10,0.0,0.010416666666666666,96,-0.010416666666666666,-0.10206207261596575,-0.03125,0.0,0.31731050786291415,1.0,share of conversations with a verbatim-repeated therapist turn
GRPO,conv_len,0,28.770833333333332,28.291666666666668,96,0.4791666666666667,0.026103111580285214,-3.042708333333333,4.1252604166666655,0.931880383579687,1.0,utterances / conversation
GRPO,conv_len,1,25.791666666666668,28.125,96,-2.3333333333333335,-0.13123548503564153,-5.8335937499999995,1.3755208333333304,0.14096425824181028,0.5638570329672411,utterances / conversation
GRPO,conv_len,2,31.208333333333332,29.739583333333332,96,1.46875,0.0762030095811439,-2.5109375,5.208333333333333,0.41686000404487866,1.0,utterances / conversation
GRPO,conv_len,3,27.604166666666668,29.0625,96,-1.4583333333333333,-0.09520192097047131,-4.489583333333333,1.6458333333333333,0.48383017655215454,1.0,utterances / conversation
GRPO,conv_len,4,30.5,25.78125,96,4.71875,0.27316943712244535,1.2286458333333334,8.072916666666666,0.009711135924095875,0.04855567962047938,utterances / conversation
GRPO,conv_len,5,30.677083333333332,22.572916666666668,96,8.104166666666666,0.5305148231163583,5.052083333333333,11.01067708333333,5.480370037431543e-06,3.288222022458926e-05,utterances / conversation
GRPO,n_th_turns,0,14.46875,14.239583333333334,96,0.22916666666666666,0.025122534879597175,-1.5315104166666667,2.0416666666666665,0.9182180812618735,1.0,therapist turns / conversation
GRPO,n_th_turns,1,13.0,14.145833333333334,96,-1.1458333333333333,-0.12928759146367683,-2.8854166666666665,0.6981770833333318,0.13782710779750024,0.551308431190001,therapist turns / conversation
GRPO,n_th_turns,2,15.666666666666666,14.947916666666666,96,0.71875,0.07466452189797987,-1.2815104166666667,2.6041666666666665,0.42235891919758983,1.0,therapist turns / conversation
GRPO,n_th_turns,3,13.8125,14.5625,96,-0.75,-0.09808895964542191,-2.2606770833333334,0.8023437499999986,0.46221269134248655,1.0,therapist turns / conversation
GRPO,n_th_turns,4,15.270833333333334,12.895833333333334,96,2.375,0.2746754188296749,0.6247395833333333,4.052083333333333,0.009413187365574721,0.047065936827873606,therapist turns / conversation
GRPO,n_th_turns,5,15.34375,11.3125,96,4.03125,0.527660313003281,2.51015625,5.4794270833333325,5.607091461038284e-06,3.3642548766229704e-05,therapist turns / conversation
GRPO,mean_turn_len,0,266.2962828046472,279.0363477452129,96,-12.740064940565643,-0.06996366313429968,-48.00613512621633,23.4215509908737,0.5461402642322364,1.0,chars / therapist turn
GRPO,mean_turn_len,1,284.24066437796773,292.5229208392913,96,-8.282256461323604,-0.041586392048007965,-48.32368057455895,29.941429242802673,0.6278035034346081,1.0,chars / therapist turn
GRPO,mean_turn_len,2,238.83387874200602,282.98157673059694,96,-44.14769798859089,-0.2480999273286508,-80.09953309615402,-7.013693387943694,0.02111789059288421,0.06335367177865263,chars / therapist turn
GRPO,mean_turn_len,3,313.27812700713775,394.65784003452836,96,-81.37971302739055,-0.41900457337045716,-121.2623196341842,-44.40610405868071,0.00020274511025610643,0.0008109804410244257,chars / therapist turn
GRPO,mean_turn_len,4,360.41236986849657,450.51113685436303,96,-90.09876698586645,-0.41773219071969475,-133.5717987999821,-48.125878462984815,0.00015093847063132288,0.0007546923531566144,chars / therapist turn
GRPO,mean_turn_len,5,461.78669439796073,668.342794652524,96,-206.55610025456335,-0.8147258877229051,-257.75383643456047,-155.11710664972495,3.347494605272622e-10,2.0084967631635732e-09,chars / therapist turn
GRPO,q_per_turn,0,0.8289397902079413,0.7404490892556876,96,0.08849070095225364,0.10226012561023981,-0.08065829326622885,0.26956451819522637,0.5500745126434713,1.0,'?' / therapist turn
GRPO,q_per_turn,1,0.6820494141239594,0.8837814849182042,96,-0.2017320707942448,-0.19849029551570446,-0.4258386636714358,-0.01888830673170405,0.0838375325956302,0.3353501303825208,'?' / therapist turn
GRPO,q_per_turn,2,0.7735677149122452,0.7841744558096228,96,-0.01060674089737767,-0.01677519354868913,-0.12703886520698118,0.11574761851613465,0.9408215030410197,1.0,'?' / therapist turn
GRPO,q_per_turn,3,0.7272072746176974,0.7151060709639948,96,0.012101203653702727,0.018023232885541488,-0.12352649654589475,0.14222174895376177,0.8608054730489256,1.0,'?' / therapist turn
GRPO,q_per_turn,4,0.4958502997976682,0.7869283963585434,96,-0.29107809656087524,-0.40364595121211877,-0.4419828119791052,-0.1533004773555158,9.595400493872793e-05,0.0004797700246936396,'?' / therapist turn
GRPO,q_per_turn,5,0.32401652446729173,0.6905519518519038,96,-0.36653542738461214,-0.6052263659739053,-0.4876169812013951,-0.2544023549358431,8.987098069779857e-09,5.392258841867915e-08,'?' / therapist turn
GRPO,loop,0,0.4791666666666667,0.4895833333333333,96,-0.010416666666666666,-0.018856868954502424,-0.11458333333333333,0.10416666666666667,0.8526836843346426,1.0,share of conversations with a verbatim-repeated therapist turn
GRPO,loop,1,0.3645833333333333,0.3541666666666667,96,0.010416666666666666,0.017164105852655043,-0.11458333333333333,0.13541666666666666,0.8657723749926214,1.0,share of conversations with a verbatim-repeated therapist turn
GRPO,loop,2,0.3541666666666667,0.3333333333333333,96,0.020833333333333332,0.030626682498838757,-0.11458333333333333,0.15625,0.763024600552995,1.0,share of conversations with a verbatim-repeated therapist turn
GRPO,loop,3,0.0,0.08333333333333333,96,-0.08333333333333333,-0.2999368620428659,-0.14583333333333334,-0.03125,0.0046777349810472576,0.028066409886283547,share of conversations with a verbatim-repeated therapist turn
GRPO,loop,4,0.041666666666666664,0.020833333333333332,96,0.020833333333333332,0.08318751811517862,-0.03125,0.07291666666666667,0.4142161782425253,1.0,share of conversations with a verbatim-repeated therapist turn
GRPO,loop,5,0.020833333333333332,0.0,96,0.020833333333333332,0.1451032892080917,0.0,0.052083333333333336,0.15729920705028502,0.7864960352514251,share of conversations with a verbatim-repeated therapist turn
