arm,train_iter,realized_turns,n,dev_mean,dev_lo,dev_hi,score_mean,p_chosen
PTO_LA5,8,0,26,-0.08545572074983834,-0.1366555227860375,-0.04295814479638006,3.8812217194570127,0.0
PTO_LA5,8,1,593,-0.006693461533011145,-0.012708449948276072,-0.000788262396020768,4.392788413847833,0.08768971332209106
PTO_LA5,8,2,37,-0.04872813990461049,-0.09397903418124007,-0.009676073131955494,3.487599364069952,0.13513513513513514
PTO_LA5,8,3,613,0.0006770326401360233,-0.007342741133973948,0.008030367938366244,4.343604260627579,0.10277324632952692
PTO_LA5,8,4,35,-0.06445378151260511,-0.1143230042016808,-0.024152310924369823,3.4351260504201684,0.02857142857142857
PTO_LA5,8,5,4813,0.0020433978702638442,-0.0017884121755911875,0.00589174535906198,4.137325381014654,0.13421982131726573
PTO_LA5,9,0,19,-0.03470256523662102,-0.05788727333038483,-0.011288008624502426,4.235913312693499,0.05263157894736842
PTO_LA5,9,1,578,-0.01081696519438225,-0.01807965746852374,-0.003607270979325981,4.342418074496234,0.09515570934256055
PTO_LA5,9,2,26,-0.07644230769230785,-0.1342668269230772,-0.014283795248868938,3.905656108597285,0.038461538461538464
PTO_LA5,9,3,598,-0.012227909558472222,-0.020740098296843822,-0.003014020825721596,4.268748770411174,0.1020066889632107
PTO_LA5,9,4,32,-0.1159466911764705,-0.18617819393382343,-0.050190716911764625,3.677205882352941,0.0625
PTO_LA5,9,5,4824,0.004129692921944902,0.0006237348795239597,0.00817572893585295,4.0594039605892105,0.13287728026533996
PTO_LA5,10,0,19,-0.07879256965944263,-0.13165054179566557,-0.03193982198142413,3.857894736842106,0.05263157894736842
PTO_LA5,10,1,620,-0.014220430107526844,-0.019948748249299694,-0.008007386825697979,4.388387096774194,0.08064516129032258
PTO_LA5,10,2,25,-0.08449579831932776,-0.12375220588235308,-0.03915514705882362,4.098352941176471,0.04
PTO_LA5,10,3,649,-0.010998659864562119,-0.017177635114138078,-0.005418084221361852,4.412353847548264,0.1016949152542373
PTO_LA5,10,4,35,-0.07283613445378163,-0.11334348739495818,-0.04026575630252106,4.035798319327731,0.05714285714285714
PTO_LA5,10,5,6039,0.003661784303057201,0.0006666942940448137,0.006656958962588178,4.307604492368234,0.13346580559695315
PTO_LA5,pooled,0,296,-0.06694654213036569,-0.0839785687078886,-0.052033941701680714,3.6453497615262322,0.060810810810810814
PTO_LA5,pooled,1,6307,-0.011727092612849793,-0.013932114938095094,-0.009284071980623535,4.155829657057051,0.09703504043126684
PTO_LA5,pooled,2,304,-0.06377257481940148,-0.08092924694548873,-0.04738797361049686,3.3822174922600623,0.09539473684210527
PTO_LA5,pooled,3,6430,-0.004921570805616172,-0.0077661590452666185,-0.0021605901030707724,4.09453206476992,0.11306376360808709
PTO_LA5,pooled,4,339,-0.07850900242102743,-0.0959206008362047,-0.061836432950761445,3.342581988547631,0.04424778761061947
PTO_LA5,pooled,5,46192,0.0037111635007310855,0.00248616488940571,0.005141456802456,3.7767743077487315,0.13307499134049186
GRPO_LA5,1,0,256,-0.09325310202205879,-0.15835183536305145,-0.03649399701286763,2.6669806985294118,0.0625
GRPO_LA5,1,1,438,0.014692452323395104,-0.0020010744023636912,0.03234215518399141,3.4145850120870263,0.1232876712328767
GRPO_LA5,1,2,71,-0.08288111019055507,-0.12497333264291628,-0.04454277133388568,2.1909693454846737,0.028169014084507043
GRPO_LA5,1,3,345,-0.020283461210571174,-0.040133205456095465,-0.0019333439897698183,3.437237851662404,0.10144927536231885
GRPO_LA5,1,4,55,-0.1674197860962567,-0.2340180481283422,-0.10501303475935829,2.2168983957219255,0.03636363636363636
GRPO_LA5,1,5,5747,0.006878013080993662,0.0008361747561387564,0.012546478853417127,2.755112130113921,0.13137289020358447
GRPO_LA5,2,0,281,-0.06819133347289093,-0.10802759315469959,-0.03231833525225036,2.6870420766171237,0.07473309608540925
GRPO_LA5,2,1,689,-0.007295312900196352,-0.025460919491163653,0.00759724771621277,3.5079313583198157,0.1204644412191582
GRPO_LA5,2,2,90,-0.07059640522875815,-0.10435559640522875,-0.04145669934640523,2.1010457516339867,0.05555555555555555
